Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-14T09:21:36.920000Z,2018-01-14T09:24:09.880000Z,8863.53240364162,Si.
2018-01-14T10:33:01.880000Z,2018-01-14T10:33:26.540000Z,1052.8374982940293,Si.
2018-01-14T17:01:15.900000Z,2018-01-14T17:03:44.380000Z,20324.764692011566,No
2018-01-14T17:09:59.640000Z,2018-01-14T17:10:15.000000Z,844.0153907417447,No
2018-01-14T17:23:20.560000Z,2018-01-14T17:23:37.540000Z,727.2278013921555,No
2018-01-14T17:24:54.740000Z,2018-01-14T17:25:22.420000Z,42004.35950976005,No
2018-01-14T17:54:30.920000Z,2018-01-14T17:54:49.940000Z,836.3903906868998,No
2018-01-14T18:00:28.620000Z,2018-01-14T18:00:51.260000Z,818.6699276752144,No
2018-01-14T18:02:16.340000Z,2018-01-14T18:03:02.040000Z,1037.1646537198333,No
2018-01-14T18:32:16.400000Z,2018-01-14T18:32:29.200000Z,758.6159562355487,No
2018-01-14T18:39:50.360000Z,2018-01-14T18:42:30.120000Z,571.4965078032326,Si.
2018-01-14T18:44:53.540000Z,2018-01-14T18:45:11.220000Z,2681.3009711678988,No
2018-01-14T18:46:16.680000Z,2018-01-14T18:46:35.340000Z,6881.581295777279,No
2018-01-14T19:42:25.200000Z,2018-01-14T19:42:45.020000Z,3208.098842676611,No
2018-01-14T20:02:43.560000Z,2018-01-14T20:03:01.320000Z,3713.111197936762,No
2018-01-14T20:20:04.500000Z,2018-01-14T20:20:16.360000Z,805.8467521183022,No
2018-01-14T22:56:16.580000Z,2018-01-14T22:56:39.360000Z,712.1382791223515,Si.
2018-01-15T00:10:14.680000Z,2018-01-15T00:12:36.160000Z,964.2468450957125,No
2018-01-15T00:30:50.280000Z,2018-01-15T00:31:05.320000Z,723.6992281477336,No
2018-01-15T06:23:39.980000Z,2018-01-15T06:23:58.220000Z,735.3600710496034,No
2018-01-15T08:42:11.960000Z,2018-01-15T08:42:31.200000Z,560.5362991412934,No
2018-01-15T08:56:26.680000Z,2018-01-15T08:56:44.700000Z,574.3282882500073,No
2018-01-15T10:36:34.360000Z,2018-01-15T10:37:01.040000Z,780.4512103310219,Si.
2018-01-15T11:07:23.960000Z,2018-01-15T11:07:41.540000Z,1055.3075010935036,No
2018-01-15T12:13:53.460000Z,2018-01-15T12:14:13.120000Z,4606.326030711785,No
2018-01-15T15:15:00.540000Z,2018-01-15T15:15:13.560000Z,612.9578040360082,No
2018-01-15T15:22:14.440000Z,2018-01-15T15:22:31.140000Z,518.9197784758302,No
2018-01-15T16:45:48.000000Z,2018-01-15T16:46:05.440000Z,1452.8779412804504,No
2018-01-15T16:47:16.940000Z,2018-01-15T16:47:35.120000Z,1472.3637595217137,No
2018-01-15T18:40:47.120000Z,2018-01-15T18:41:03.740000Z,593.8678669992765,No
2018-01-15T19:10:29.560000Z,2018-01-15T19:10:46.280000Z,523.4068022664845,No
2018-01-15T20:30:02.860000Z,2018-01-15T20:30:20.760000Z,1711.248446459817,No
2018-01-15T20:40:45.580000Z,2018-01-15T20:41:05.220000Z,765.7529088531334,No
2018-01-15T21:12:56.060000Z,2018-01-15T21:13:11.740000Z,1336.9809126238217,No
2018-01-15T22:10:20.880000Z,2018-01-15T22:10:36.180000Z,570.0010108121834,No
2018-01-15T22:51:00.280000Z,2018-01-15T22:51:19.340000Z,1137.502960180764,Si.
2018-01-16T00:25:45.140000Z,2018-01-16T00:26:06.540000Z,1295.2515988403272,No
