Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-14T05:51:30.280000Z, 2018-01-14T05:51:45.540000Z
2018-01-14T08:30:40.720000Z, 2018-01-14T08:32:04.000000Z
2018-01-14T08:49:31.160000Z, 2018-01-14T08:49:48.580000Z
2018-01-14T08:51:24.540000Z, 2018-01-14T08:51:42.620000Z
2018-01-14T09:20:54.100000Z, 2018-01-14T09:21:29.440000Z
2018-01-14T09:21:36.920000Z, 2018-01-14T09:24:09.880000Z
2018-01-14T09:35:23.080000Z, 2018-01-14T09:35:29.920000Z
2018-01-14T10:33:01.880000Z, 2018-01-14T10:33:26.540000Z
2018-01-14T17:01:15.900000Z, 2018-01-14T17:03:44.380000Z
2018-01-14T17:09:59.640000Z, 2018-01-14T17:10:15.000000Z
2018-01-14T17:23:20.560000Z, 2018-01-14T17:23:37.540000Z
2018-01-14T17:24:54.740000Z, 2018-01-14T17:25:22.420000Z
2018-01-14T17:54:30.920000Z, 2018-01-14T17:54:49.940000Z
2018-01-14T18:00:28.620000Z, 2018-01-14T18:00:51.260000Z
2018-01-14T18:02:16.340000Z, 2018-01-14T18:03:02.040000Z
2018-01-14T18:32:16.400000Z, 2018-01-14T18:32:29.200000Z
2018-01-14T18:39:50.360000Z, 2018-01-14T18:42:30.120000Z
2018-01-14T18:44:53.540000Z, 2018-01-14T18:45:11.220000Z
2018-01-14T18:46:16.680000Z, 2018-01-14T18:46:35.340000Z
2018-01-14T19:42:25.200000Z, 2018-01-14T19:42:45.020000Z
2018-01-14T20:02:43.560000Z, 2018-01-14T20:03:01.320000Z
2018-01-14T20:20:04.500000Z, 2018-01-14T20:20:16.360000Z
2018-01-14T22:56:16.580000Z, 2018-01-14T22:56:39.360000Z
2018-01-15T00:10:14.680000Z, 2018-01-15T00:12:36.160000Z
2018-01-15T00:29:19.480000Z, 2018-01-15T00:29:45.960000Z
2018-01-15T00:30:50.280000Z, 2018-01-15T00:31:05.320000Z
2018-01-15T04:28:17.340000Z, 2018-01-15T04:28:35.460000Z
2018-01-15T06:23:39.980000Z, 2018-01-15T06:23:58.220000Z
2018-01-15T08:42:11.960000Z, 2018-01-15T08:42:31.200000Z
2018-01-15T08:56:26.680000Z, 2018-01-15T08:56:44.700000Z
2018-01-15T08:58:57.140000Z, 2018-01-15T08:59:11.060000Z
2018-01-15T10:36:34.360000Z, 2018-01-15T10:37:01.040000Z
2018-01-15T11:07:23.960000Z, 2018-01-15T11:07:41.540000Z
2018-01-15T12:13:53.460000Z, 2018-01-15T12:14:13.120000Z
2018-01-15T15:15:00.540000Z, 2018-01-15T15:15:13.560000Z
2018-01-15T15:22:14.440000Z, 2018-01-15T15:22:31.140000Z
2018-01-15T16:45:48.000000Z, 2018-01-15T16:46:05.440000Z
2018-01-15T16:47:16.940000Z, 2018-01-15T16:47:35.120000Z
2018-01-15T16:49:40.900000Z, 2018-01-15T16:49:55.360000Z
2018-01-15T18:40:47.120000Z, 2018-01-15T18:41:03.740000Z
2018-01-15T19:10:29.560000Z, 2018-01-15T19:10:46.280000Z
2018-01-15T20:30:02.860000Z, 2018-01-15T20:30:20.760000Z
2018-01-15T20:40:17.860000Z, 2018-01-15T20:40:29.180000Z
2018-01-15T20:40:45.580000Z, 2018-01-15T20:41:05.220000Z
2018-01-15T21:12:56.060000Z, 2018-01-15T21:13:11.740000Z
2018-01-15T22:10:20.880000Z, 2018-01-15T22:10:36.180000Z
2018-01-15T22:51:00.280000Z, 2018-01-15T22:51:19.340000Z
2018-01-16T00:25:45.140000Z, 2018-01-16T00:26:06.540000Z
2018-01-16T00:39:59.340000Z, 2018-01-16T00:40:19.640000Z
2018-01-16T01:21:51.820000Z, 2018-01-16T01:22:26.920000Z
2018-01-16T05:29:49.960000Z, 2018-01-16T05:30:20.640000Z
2018-01-16T06:08:09.680000Z, 2018-01-16T06:08:31.760000Z
2018-01-16T15:06:13.520000Z, 2018-01-16T15:08:19.740000Z
